Submission ID,Authors,Title,Decision,Archival
88,Zewen Tao; Shin-nosuke Ishikawa,Externalizing Requirement-to-Repair Artifacts as Observable Traces for LLM-Based Program Repair,Poster,Yes
89,Mohammad Taha Bahadori; Victor Quintas; Patrick Blöbaum; Badre Narayanan Vedantha Ramanujan; David Heckerman,A Causal Safety Lifecycle for Self-Improving Agents,Poster,No
91,Yibo Li; Jiashuo Yang; Zhi Zheng; Zhiyuan Hu; Yuan Sui; Shizun Wang; Yufei He; Bryan Hooi,APEX: Autonomous Policy Exploration for Self-Evolving LLM Agents,Poster,No
92,Mohamed Khelifi; Saif Daoud; Leena Babiker; Sami Ouanes; Mohammad Raza; Safa Messaoud,From Textbooks to Proactive Agentic Systems: Scaling Long-Horizon Planning via Automated Agentic System Construction,Spotlight,No
93,Yuxin Tian; Zenghao Duan; Liang Pang; Zhiyi yin; Xueqi Cheng,SkillAtlas: An Attack Trace Library for Agent Skills,Poster,No
97,Soham Wasmatkar,Flight to Mediocrity: Why LLM Agent Selectors Under-Hire Experts When Quality Claims Are Unverified,Poster,Yes
99,Kushagra Agrawal; Yuming Feng; Man-Fai Leung,Translating the Translator: Decomposing the Cost of English-Forced Inter-Agent Communication,Poster,Yes
102,Sara Vera Marjanovic; Jiacheng Xu; Aleksandr Laptev; Grigor Nalbandyan; Erik Arakelyan; Evelina Bakhturina,"Mo’ Models, Mo’ Problems: How to best select model pools when designing Multi-Agent Systems",Poster,Yes
104,Xuanyi Liu; Niall Dalton; Hairi Amin; Xiyuan Yin; Lydia Lim,Be Careful Who You Trust: Coordination Dynamics under Corrupted Communication in LLM Multi-Agent Games,Poster,Yes
105,Quang Dao; Purvi Kathalkar; Kenneth Eaton,Weighted Memory Tree: Remembering What Matters for Long-Horizon LLM Agents,Poster,Yes
109,Yifeng Xiao; Zhiyu Ni; Dinghong Song; Mi Zhou; Pierluigi Nuzzo,ACIES: A Self-Evolving Agentic Contract-Based Framework for Cyber-Physical System Control Synthesis,Poster,Yes
111,Rishi N. Simhadri,Capability Is Not Complementarity: A Routing Feasibility Study in Financial Question Answering,Poster,Yes
114,Elizaveta Zinovyeva; Aiham Taleb; Nikita Kozodoi; Daniel Schleicher; Amir Mahdi Namazi; Martin Kraus; Levent Kent; Brian Jensen,Generation and Verification: Human-Agent Collaboration for Safety-Critical Automotive Software Engineering,Poster,Yes
115,Srinivas Harish,Two Thirds of the Best-of-K Oracle Band in Tool Agents Is Unreachable by Reward-Free Selection,Poster,Yes
